admin2,hc_cluster_id
KAPUAS HULU,22
KARANG ASEM,20
KARANGANYAR,18
KARAWANG,18
KARIMUN,23
KARO,15
KATINGAN,22
KAUR,9
KAYONG UTARA,22
KEBUMEN,20
KEDIRI,20
KEEROM,22
KENDAL,21
KEPAHIANG,14
KEPULAUAN ANAMBAS,23
KEPULAUAN ARU,18
KEPULAUAN MENTAWAI,22
KEPULAUAN MERANTI,18
KEPULAUAN SANGIHE,23
KEPULAUAN SELAYAR,23
KEPULAUAN SULA,23
KEPULAUAN TALAUD,23
KEPULAUAN YAPEN,22
KERINCI,15
KETAPANG,22
KLATEN,20
KLUNGKUNG,20
KOLAKA,18
KOLAKA TIMUR,22
KOLAKA UTARA,11
KONAWE,22
KONAWE KEPULAUAN,18
KONAWE SELATAN,22
KONAWE UTARA,22
KOTA AMBON,23
KOTA BALIKPAPAN,18
KOTA BANDA ACEH,22
KOTA BANDAR LAMPUNG,22
KOTA BANDUNG,13
KOTA BANJAR,20
KOTA BANJAR BARU,22
KOTA BANJARMASIN,22
KOTA BARU,18
KOTA BATAM,23
KOTA BATU,16
KOTA BAUBAU,18
KOTA BEKASI,18
KOTA BENGKULU,9
KOTA BIMA,18
KOTA BINJAI,22
KOTA BITUNG,22
KOTA BLITAR,20
KOTA BOGOR,18
KOTA BONTANG,18
KOTA BUKITTINGGI,15
KOTA CILEGON,18
KOTA CIMAHI,13
KOTA CIREBON,18
KOTA DENPASAR,20
KOTA DEPOK,18
KOTA DUMAI,22
KOTA GORONTALO,22
KOTA GUNUNGSITOLI,22
KOTA JAKARTA BARAT,18
KOTA JAKARTA PUSAT,18
KOTA JAKARTA SELATAN,18
KOTA JAKARTA TIMUR,18
KOTA JAKARTA UTARA,18
KOTA JAMBI,22
KOTA JAYAPURA,22
KOTA KEDIRI,20
KOTA KENDARI,22
KOTA KOTAMOBAGU,14
KOTA KUPANG,18
KOTA LANGSA,22
KOTA LHOKSEUMAWE,22
KOTA LUBUKLINGGAU,22
KOTA MADIUN,18
KOTA MAGELANG,14
KOTA MAKASSAR,21
KOTA MALANG,13
KOTA MANADO,22
KOTA MATARAM,18
KOTA MEDAN,22
KOTA METRO,22
KOTA MOJOKERTO,18
KOTA PADANG,9
KOTA PADANG PANJANG,14
KOTA PADANGSIDIMPUAN,14
KOTA PAGAR ALAM,15
KOTA PALANGKA RAYA,22
KOTA PALEMBANG,22
KOTA PALOPO,19
KOTA PALU,14
KOTA PANGKAL PINANG,23
KOTA PAREPARE,21
KOTA PARIAMAN,9
KOTA PASURUAN,18
KOTA PAYAKUMBUH,14
KOTA PEKALONGAN,21
KOTA PEKANBARU,22
KOTA PEMATANG SIANTAR,14
KOTA PONTIANAK,22
KOTA PRABUMULIH,22
KOTA PROBOLINGGO,18
KOTA SABANG,23
KOTA SALATIGA,13
KOTA SAMARINDA,22
KOTA SAWAH LUNTO,20
KOTA SEMARANG,18
KOTA SERANG,18
KOTA SIBOLGA,9
KOTA SINGKAWANG,22
KOTA SOLOK,14
KOTA SORONG,22
KOTA SUBULUSSALAM,10
KOTA SUKABUMI,13
KOTA SUNGAI PENUH,15
KOTA SURABAYA,18
KOTA SURAKARTA,18
KOTA TANGERANG,18
KOTA TANGERANG SELATAN,18
KOTA TANJUNG BALAI,22
KOTA TANJUNG PINANG,23
KOTA TASIKMALAYA,14
KOTA TEBING TINGGI,22
KOTA TEGAL,21
KOTA TERNATE,23
KOTA TIDORE KEPULAUAN,23
KOTA TOMOHON,14
KOTA TUAL,23
KOTA YOGYAKARTA,20
KOTAWARINGIN BARAT,22
KOTAWARINGIN TIMUR,22
KUANTAN SINGINGI,22
KUBU RAYA,22
KUDUS,18
KULON PROGO,20
KUNINGAN,20
KUPANG,18
KUTAI BARAT,22
KUTAI KARTANEGARA,22
KUTAI TIMUR,22
LABUHAN BATU,22
LABUHAN BATU SELATAN,22
LABUHAN BATU UTARA,22
LAHAT,20
LAMANDAU,22
LAMONGAN,18
LAMPUNG BARAT,14
LAMPUNG SELATAN,22
LAMPUNG TENGAH,22
LAMPUNG TIMUR,22
LAMPUNG UTARA,22
LANDAK,22
LANGKAT,22
LANNY JAYA,2
LEBAK,18
LEBONG,14
LEMBATA,18
LIMA PULUH KOTA,14
LINGGA,23
LOMBOK BARAT,18
LOMBOK TENGAH,18
LOMBOK TIMUR,18
LOMBOK UTARA,20
LUMAJANG,20
LUWU,19
LUWU TIMUR,22
LUWU UTARA,14
MADIUN,18
MAGELANG,14
MAGETAN,18
MAHAKAM HULU,14
MAJALENGKA,18
MAJENE,22
MALAKA,17
MALANG,13
MALINAU,14
MALUKU BARAT DAYA,23
MALUKU TENGAH,22
MALUKU TENGGARA,23
MALUKU TENGGARA BARAT,23
MAMASA,15
MAMBERAMO RAYA,22
MAMBERAMO TENGAH,3
MAMUJU,9
MAMUJU TENGAH,9
MAMUJU UTARA,22
MANDAILING NATAL,14
MANGGARAI,13
MANGGARAI BARAT,20
MANGGARAI TIMUR,13
MANOKWARI,9
MANOKWARI SELATAN,12
MAPPI,22
MAROS,21
MAYBRAT,9
MELAWI,22
MEMPAWAH,22
MERANGIN,20
MERAUKE,18
MESUJI,22
MIMIKA,8
MINAHASA,14
MINAHASA SELATAN,14
MINAHASA TENGGARA,14
MINAHASA UTARA,22
MOJOKERTO,18
MOROWALI,22
MOROWALI UTARA,14
MUARA ENIM,22
MUARO JAMBI,22
MUKOMUKO,9
MUNA,18
MUNA BARAT,18
MURUNG RAYA,22
MUSI BANYUASIN,22
MUSI RAWAS,22
MUSI RAWAS UTARA,22
